host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_shared_rooms,reviews_per_month
2011-08-07,within an hour,1.0,0.78,f,t,t,-22.98467,-43.19714,Private room,2,1.5,1.0,1.0,108.0,3,30,t,17,21,34,124,185,4.78,4.79,4.78,4.74,4.75,4.97,4.69,f,0,1.61
2018-12-05,,,0.5,f,t,t,-22.92311,-43.17911,Entire home/apt,6,1.5,2.0,4.0,1000.0,4,1125,t,0,0,0,81,5,4.8,5.0,4.8,5.0,4.8,5.0,4.6,t,0,0.12
2014-11-05,within an hour,1.0,0.96,t,t,t,-22.98522,-43.19113,Entire home/apt,4,2.0,2.0,2.0,350.0,2,365,t,22,24,48,160,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,2.34
2011-06-07,within an hour,1.0,1.0,t,t,t,-22.96858,-43.19088,Entire home/apt,6,2.0,2.0,3.0,284.0,6,90,t,13,43,55,249,80,4.81,4.88,4.66,4.92,4.81,4.75,4.77,t,0,0.73
2013-01-20,within an hour,1.0,0.56,f,t,t,-22.96944,-43.18642,Entire home/apt,4,1.0,1.0,2.0,180.0,2,1125,t,30,60,84,359,8,4.25,4.63,4.0,4.88,4.88,4.88,4.75,f,0,0.11
2013-07-21,,,,f,t,f,-22.98202,-43.19306,Entire home/apt,2,1.0,1.0,1.0,831.0,7,20,t,30,60,90,365,0,,,,,,,,f,0,
2014-01-22,within an hour,1.0,0.86,t,t,t,-22.96577,-43.38654,Entire home/apt,4,2.0,2.0,3.0,400.0,2,1125,t,0,12,28,199,6,4.83,4.67,4.33,5.0,5.0,4.67,4.5,f,0,0.19
2017-02-13,within a few hours,0.7,0.5,f,t,f,-22.95532,-43.38044,Entire home/apt,8,3.0,3.0,6.0,595.0,10,1125,t,0,14,33,33,9,5.0,4.78,4.78,5.0,5.0,4.67,4.67,f,0,0.17
2018-08-20,within an hour,1.0,1.0,t,t,t,-23.00936,-43.32764,Entire home/apt,4,1.0,,1.0,180.0,30,1125,t,1,24,46,89,82,4.87,4.94,4.68,4.95,4.94,5.0,4.74,t,0,1.77
2014-03-31,within an hour,1.0,0.95,t,t,t,-22.94491,-43.18247,Entire home/apt,3,1.0,1.0,2.0,130.0,3,90,t,15,37,63,335,117,4.9,4.93,4.91,4.98,5.0,4.95,4.78,f,0,1.37
2019-04-30,within an hour,1.0,0.95,f,t,f,-23.01003,-43.44082,Entire home/apt,6,2.5,3.0,5.0,220.0,3,1125,t,20,50,69,343,27,4.7,4.67,4.56,4.89,4.96,4.85,4.74,t,0,0.76
2019-11-17,within an hour,1.0,0.98,t,t,t,-22.96471,-43.17857,Entire home/apt,6,1.0,1.0,3.0,189.0,3,1125,t,20,48,60,60,107,4.92,4.91,4.84,4.89,4.92,4.97,4.93,t,0,3.56
2011-11-21,within an hour,1.0,0.62,f,t,t,-22.96633,-43.17754,Private room,3,1.0,1.0,2.0,180.0,2,90,t,5,6,7,270,22,4.82,4.91,4.76,4.95,5.0,4.95,4.55,f,0,0.17
2015-02-14,within an hour,1.0,0.36,f,t,t,-22.98022,-43.4161,Entire home/apt,4,2.0,2.0,4.0,280.0,3,60,t,0,0,0,45,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.19
2021-02-12,within an hour,1.0,1.0,f,t,t,-23.02947998046875,-43.50043487548828,Entire home/apt,6,3.0,2.0,5.0,550.0,3,1125,t,30,60,86,361,7,5.0,4.86,4.86,5.0,5.0,4.57,4.57,f,0,0.97
2017-10-01,a few days or more,0.33,,f,t,f,-22.88778,-43.43006,Private room,2,1.0,1.0,2.0,200.0,1,30,t,30,60,90,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0,0.04
2015-03-28,within an hour,0.99,0.99,f,t,t,-22.97156,-43.39407,Entire home/apt,6,2.0,2.0,5.0,536.0,1,365,t,30,60,89,357,0,,,,,,,,t,0,
2014-05-21,,,0.67,f,t,f,-22.92025,-43.17802,Private room,1,1.0,1.0,1.0,200.0,3,6,t,0,0,0,0,0,,,,,,,,t,0,
2016-05-11,within an hour,1.0,1.0,f,t,t,-22.99394,-43.49946,Entire home/apt,6,3.0,2.0,3.0,380.0,3,1125,t,30,60,81,353,20,4.55,4.7,4.6,4.8,4.9,4.05,4.8,t,0,0.28
2012-07-22,within a day,0.75,0.64,f,t,t,-22.983324,-43.218513,Entire home/apt,3,1.0,1.0,2.0,400.0,3,1125,t,22,36,48,138,8,5.0,5.0,5.0,5.0,5.0,5.0,4.88,f,0,0.28
2016-06-01,within a day,0.7,0.15,f,t,f,-22.94415,-43.19216,Entire home/apt,6,2.0,3.0,3.0,800.0,1,6,t,29,59,85,360,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.18
2015-12-03,within an hour,1.0,1.0,t,t,t,-22.94576,-43.18316,Entire home/apt,2,1.0,,1.0,139.0,2,45,t,8,25,42,306,106,4.94,4.97,4.91,4.99,5.0,4.96,4.87,t,0,3.36
2015-07-15,a few days or more,0.0,0.0,f,t,f,-22.9629,-43.17858,Private room,1,1.0,1.0,1.0,145.0,2,1125,t,29,59,89,89,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.08
2013-12-13,within an hour,1.0,1.0,t,t,t,-22.97329,-43.18822,Entire home/apt,2,1.0,1.0,2.0,286.0,7,1125,t,26,56,86,98,29,4.97,5.0,4.93,5.0,5.0,4.9,4.86,t,0,1.02
2016-10-05,within an hour,1.0,0.96,f,t,t,-22.97595,-43.41383,Entire home/apt,2,1.0,1.0,1.0,300.0,3,680,t,30,60,90,365,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,f,0,0.06
2018-03-24,within an hour,1.0,0.82,t,t,f,-22.965,-43.17418,Entire home/apt,4,1.0,1.0,1.0,165.0,2,1125,t,7,26,41,53,39,5.0,4.92,5.0,4.97,4.95,5.0,4.87,f,0,1.38
2016-02-23,a few days or more,0.0,0.67,f,t,f,-22.96777,-43.17968,Private room,3,1.0,1.0,3.0,345.0,2,1125,t,0,0,0,232,11,5.0,4.91,5.0,4.91,5.0,5.0,4.91,f,0,0.15
2021-10-06,within a day,1.0,0.0,f,t,t,-22.98607,-43.20662,Private room,2,1.0,1.0,3.0,240.0,1,365,t,30,60,90,365,0,,,,,,,,f,0,
2016-06-19,within an hour,1.0,1.0,f,t,t,-23.00707,-43.4513,Entire home/apt,4,2.0,2.0,2.0,240.0,7,1125,t,30,60,80,355,10,4.6,4.6,4.3,4.8,4.9,4.9,4.5,t,0,0.14
2020-03-17,within an hour,1.0,0.93,f,t,t,-22.98291,-43.21626,Entire home/apt,3,2.0,2.0,2.0,616.0,5,1125,t,0,0,0,43,0,,,,,,,,t,0,
2014-05-14,,,0.0,f,t,f,-22.97313,-43.19417,Private room,1,1.0,1.0,2.0,100.0,30,1125,t,29,59,89,89,1,5.0,5.0,4.0,5.0,5.0,4.0,4.0,f,0,0.03
2019-03-15,within an hour,0.96,0.65,f,t,t,-22.98694,-43.19119,Private room,6,1.0,2.0,2.0,214.0,1,120,t,22,52,80,342,1,4.0,4.0,5.0,5.0,5.0,5.0,5.0,f,0,0.03
2020-04-18,within an hour,1.0,1.0,f,t,t,-22.96465,-43.1719,Entire home/apt,4,1.0,1.0,2.0,200.0,2,90,t,17,43,62,62,5,5.0,5.0,5.0,5.0,5.0,5.0,4.8,t,0,2.24
2013-01-12,within an hour,1.0,1.0,f,t,t,-23.01034,-43.34599,Entire home/apt,4,2.0,2.0,2.0,1157.0,3,1125,t,23,53,72,145,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0,0.02
2014-04-09,within an hour,1.0,0.65,f,t,t,-22.98319,-43.20296,Entire home/apt,2,1.0,1.0,2.0,199.0,5,90,t,25,55,85,85,37,4.68,4.73,4.7,4.89,4.84,4.95,4.46,f,0,0.46
2014-05-02,within a few hours,1.0,0.74,t,t,t,-22.98375,-43.22704,Entire home/apt,2,1.0,1.0,2.0,720.0,2,1125,t,29,59,89,364,6,5.0,5.0,5.0,5.0,4.83,5.0,4.0,f,0,0.18
